證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1605","華新","7,556,265","96,278,385","12.95","12.95","12.65","12.70","-0.15","2,278"
"1608","華榮","477,040","4,521,648","9.43","9.54","9.41","9.50","+0.09","216"
"1609","大亞","1,706,172","16,248,290","9.61","9.65","9.42","9.49","-0.07","515"
"1611","中電","1,211,340","15,422,991","12.85","12.85","12.65","12.70","-0.10","374"
"1612","宏泰","277,000","2,824,750","10.25","10.25","10.15","10.20","-0.05","61"
"1614","三洋電","1,071,500","33,061,249","28.75","31.60","28.30","31.00","+2.25","470"
"1615","大山","789,105","16,759,992","22.00","22.00","20.85","21.00","+0.95","417"
"1616","億泰","84,000","342,550","4.07","4.16","4.05","4.10","+0.03","24"
"1617","榮星","36,134","365,607","10.10","10.40","10.00","10.15","+0.10","18"
"1618","合機","41,030","311,025","7.54","7.62","7.50","7.55","+0.01","27"
"1626","艾美特-KY","222,000","5,762,200","25.20","26.60","25.20","26.10","+0.90","134"
"1701","中化","1,840,241","37,397,126","20.40","20.70","20.15","20.25","-0.05","921"
"1702","南僑","197,127","8,526,158","42.90","43.45","42.90","43.45","+0.70","228"
"1707","葡萄王","690,026","135,420,148","198.00","198.50","195.00","197.00","+0.50","539"
"1708","東鹼","895,942","20,663,898","23.00","23.15","22.90","23.15","+0.20","511"
"1709","和益","618,017","7,753,257","12.75","12.75","12.45","12.50","-0.10","236"
"1710","東聯","2,953,237","47,763,061","15.85","16.35","15.85","16.20","+0.30","1,014"
"1711","永光","572,704","7,751,985","13.60","13.70","13.40","13.60","+0.10","251"
"1712","興農","870,515","16,190,981","18.60","18.65","18.55","18.65","+0.05","413"
"1713","國化","115,000","1,994,750","17.30","17.40","17.20","17.40","-0.05","18"
"1714","和桐","4,712,811","34,668,099","7.44","7.47","7.30","7.31","-0.03","1,412"
"1717","長興","2,655,657","73,380,666","27.65","28.00","27.10","27.20","-0.05","1,249"
"1718","中纖","2,773,679","17,627,265","6.42","6.42","6.32","6.34","+0.06","769"
"1720","生達","1,719,753","64,053,911","37.50","37.65","36.90","37.05","-0.05","980"
"1721","三晃","169,316","1,699,310","10.10","10.10","10.00","10.05","-0.05","48"
"1722","台肥","1,504,312","68,460,168","45.50","45.70","45.40","45.50","+0.05","772"
"1723","中碳","263,758","26,133,216","99.50","99.50","98.60","99.00","+0.30","256"
"1724","台硝","13,999","161,235","11.50","11.55","11.45","11.45","+0.10","23"
"1725","元禎","15,272","211,348","13.70","13.90","13.70","13.85","-0.05","16"
"1726","永記","10,020","673,958","67.10","67.40","67.00","67.40","-0.10","9"
"1727","中華化","25,887","242,496","9.40","9.46","9.32","9.35","+0.01","42"
"1730","花仙子","225,236","14,373,298","64.40","64.40","63.60","64.00","+0.30","187"
"1731","美吾華","578,908","7,452,910","12.95","13.00","12.75","12.80","+0.10","271"
"1732","毛寶","11,511,100","358,595,410","30.30","32.55","29.95","29.95","-0.10","6,093"
"1733","五鼎","220,032","5,139,752","23.60","23.65","23.15","23.25","-0.25","143"
"1734","杏輝","649,023","12,571,638","19.50","19.65","19.10","19.20","+0.05","370"
"1735","日勝化","1,000","16,400","16.40","16.40","16.40","16.40","+0.25","1"
"1736","喬山","4,281,649","263,049,738","60.40","62.70","59.50","62.00","+3.10","2,925"
"1737","臺鹽","347,759","10,716,135","30.95","30.95","30.70","30.75","+0.05","140"
"1760","寶齡富錦","18,118,852","2,211,596,889","125.00","135.00","115.00","115.50","-12.00","13,047"
"1762","中化生","6,969,960","322,809,345","46.10","47.20","45.80","46.00","+1.60","3,900"
"1773","勝一","138,416","13,079,936","95.00","95.00","93.80","95.00","+0.10","115"
"1776","展宇","21,001","358,167","17.00","17.20","17.00","17.00"," 0.00","16"
"1783","和康生","721,092","17,867,839","25.50","25.50","24.30","24.55","-0.25","541"
"1786","科妍","285,300","17,675,938","62.00","62.50","61.70","61.80","+0.10","210"
"1789","神隆","4,868,812","142,810,668","30.20","30.35","28.60","28.85","-0.85","2,522"
"1795","美時","2,141,500","154,694,300","72.00","72.80","71.30","72.00","+0.80","1,499"
"1802","台玻","844,187","7,316,070","8.68","8.71","8.61","8.67","+0.10","256"
"1805","寶徠","35,000","294,490","8.39","8.65","8.32","8.65","-0.09","10"
"1806","冠軍","179,622","842,332","4.74","4.74","4.66","4.69","-0.01","70"
"1808","潤隆","220,966","12,738,094","57.80","57.90","57.10","57.90","+0.90","176"
"1809","中釉","242,631","2,103,895","8.68","8.75","8.64","8.66","+0.01","129"
"1810","和成","349,400","2,515,330","7.22","7.23","7.16","7.23","+0.04","91"
"1817","凱撒衛","73,000","2,108,050","28.80","29.10","28.80","29.05","+0.05","50"
"1902","台紙","464,162","9,571,652","20.60","20.65","20.60","20.60"," 0.00","169"
"1903","士紙","221,051","8,242,547","37.10","37.70","37.05","37.20","+0.10","144"
